1,Chai Wan,0
2,Heng Fa Chuen,0.744
3,Shau Kei Wan,1.32
4,Sai Wan Ho,0.675
5,Tai Koo,0.635
6,Quarry Bay,0.745
7,North Point,0.929
8,Fortress Hill,1.15
9,Tin Hau,0.727
10,Causeway Bay,0.922
11,Wai Chai,0.94
12,Admiralty,1.37
13,Central,1.03
14,Cheung Wan,0.831
15,Sai Ying Pun,0.877
16,HKU,1.07
17,Kennedy Town,1.67
