StationID,StationName,Distance,Interchange
43,Tsuen Wan,0,N
44,Tai Wo Hau,0.806,N
45,Kwai Hing,1.06,N
46,Kwai Fong,0.79,N
47,Lai King,0.933,N
48,Mei Foo,1.58,N
49,Lai Chi Kok,1.22,N
50,Cheung Sha Wan,0.86,N
51,Sham Shui Po,0.744,N
52,Prince Edward,0.943,Y
53,Mong Kok,0.638,N
54,Yau Ma Tei,0.689,N
55,Jordan,1.02,N
56,Tsim Sha Tsui,0.741,N
57,Admiralty,2.17,Y
58,Central,0.751,N
