StationID,StationName,Distance,Interchange
1,Kennedy Town,0,N
2,HKU,0.665,N
3,Sai Ying Pun,1.519,N
4,Sheung Wan,2.484,N
5,Central,3.265,Y
6,Admiralty,4.014,Y
7,Wan Chai,4.875,N
8,Causeway Bay,6.195,N
9,Tin Hau,6.926,N
10,Fortress Hill,7.567,N
11,North Point,8.338,Y
12,Quarry Bay,9.23,Y
13,Tai Koo,10.05,N
14,Sai Wan Ho,10.77,N
15,Shau Kei Wan,11.56,N
16,Heng Fa Chuen,12.71,N
17,Chai Wan,14.07,N
