StationID,StationName,Distance,Interchange
,North Point,0,Y
,Quarry Bay,0.891,Y
,Yau Tong,3.1,Y
,Tiu Keng Leng,1.68,Y
,Tseung Kwan O,0.908,N
,LOHAS Park,1.6,N
,Hang Hau,1.02,N
,Po Lam,1.02,N
